ID,Name,School_ID,School,Division
14327468,Wyatt Lefker,21602,Youngstown State,Horizon
14309279,Justin Thomas,21295,Rider,Metro Atlantic (MAAC)
17842964,Javier Santiago,21295,Rider,Metro Atlantic (MAAC)
16197743,Jesus Rodriguez,21295,Rider,Metro Atlantic (MAAC)
17799582,Jackson Haft,21065,Manhattan,Metro Atlantic (MAAC)
17545973,Hunter Garretson,20584,Akron,Mid-American (MAC)
14305047,Matthew Keim,20584,Akron,Mid-American (MAC)
16278286,Robert Artrip,20584,Akron,Mid-American (MAC)
16319257,Eduard Winner,20968,Illinois State,Missouri Valley (MVC)
10874495,Kellen Kravik,20968,Illinois State,Missouri Valley (MVC)
17541683,Brendan Safley,21208,Northern Iowa,Missouri Valley (MVC)
16319262,Max Schweitzer,20968,Illinois State,Missouri Valley (MVC)
12554051,Kyle Zeinemann,21373,Southern Illinois-Carbondale,Missouri Valley (MVC)
16217955,Gary Glenewinkel,21373,Southern Illinois-Carbondale,Missouri Valley (MVC)
12553260,Kyle Rowe,20968,Illinois State,Missouri Valley (MVC)
17541664,Aaron Sobush,21208,Northern Iowa,Missouri Valley (MVC)
