,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
475,674066,Ernest Rollins,20974,Indiana State,Missouri Valley (MVC),14.48,14.57,15.21,15.76,2012
476,671041,Tyler Knight,20968,Illinois State,Missouri Valley (MVC),14.23,14.62,15.09,15.3,2012
477,628327,Vincent Johnson,21373,Southern Illinois-Carbondale,Missouri Valley (MVC),13.53,14.21,14.02,14.67,2012
478,671026,Kris Mizel,20968,Illinois State,Missouri Valley (MVC),13.9,14.02,14.84,14.54,2012
479,692452,Jeremiah James,21595,Wyoming,Mountain West (MWC),13.6,15.47,16.11,15.63,2012
480,663339,Kyle Mills,20690,BYU,Mountain West (MWC),14.59,15.17,15.36,15.03,2012
488,644905,Senghor Kamguia,20864,Fairleigh Dickinson-Metro,Northeast (NEC),14.23,13.63,13.73,14.24,2012
489,653566,Matt Berube,20716,Central Connecticut,Northeast (NEC),14.12,14.0,13.77,14.08,2012
490,10228976,Chris Benard,20618,Arizona State,PAC-10,49.04166666666666,53.16666666666666,51.66666666666666,54.91666666666666,2012
493,689130,Brian Schaudt,21242,Oregon,PAC-10,14.69,15.12,15.77,15.48,2012
499,2113693,Julian Bardwell,21523,Washington,PAC-10,14.41,14.19,14.24,14.95,2014
501,655666,Frederick Beebe,20622,Army,Patriot,14.12,14.69,14.85,15.25,2012
502,626374,Brian Zitterkopf,21167,Navy,Patriot,13.4,14.35,12.87,12.72,2012
509,656530,Josh Howard,21050,Louisiana-Monroe,Sun Belt,14.98,15.35,15.88,15.26,2012
512,3412789,Justin Lovingood,20887,Fresno State,Western (WAC),15.35,15.31,15.38,14.7,2015
513,624181,Alex Federinko,20833,Duquesne,Atlantic 10,12.7,13.47,13.85,14.31,2011
516,13905647,Austin Davis,21187,North Carolina,Atlantic Coast (ACC),53.25,53.125,53.1875,51.95833333333334,2011
518,675744,Josh Fowler,20751,Clemson,Atlantic Coast (ACC),14.89,15.22,15.66,15.16,2011
523,628746,Julian Reid,21453,Texas A&amp;M,Big 12,15.52,17.1,14.94,16.77,2011
524,628772,Tyron Stewart,21453,Texas A&amp;M,Big 12,15.74,16.56,16.6,16.49,2011
525,628755,Melvin Echard,21453,Texas A&amp;M,Big 12,15.38,16.07,16.01,16.16,2011
527,635983,Chris Phipps,21169,Nebraska,Big 12,15.89,16.0,15.92,15.36,2012
529,636019,Nicholas Gordon,21169,Nebraska,Big 12,15.1,15.18,15.88,14.99,2011
534,623474,Kurt Williams,20848,Eastern Washington,Big Sky,12.78,13.57,14.11,14.02,2011
538,603964,Keary Simms,21575,Winthrop,Big South,13.18,14.53,14.4,14.37,2011
539,689201,Ray Green,21485,UC Davis,Big West,14.99,15.08,15.41,15.16,2011
541,628664,Chris Carter,20955,Houston,C-USA,14.82,16.34,15.98,16.14,2011
542,662785,Ugo Nduaguba,21292,Rice,C-USA,15.17,15.68,15.57,15.5,2011
548,662459,Jarrett Mickens,21498,Valparaiso,Horizon,13.61,12.38,14.4,14.88,2011
549,671098,Steve Schubert,21498,Valparaiso,Horizon,12.67,13.48,13.94,13.94,2011
550,718900,Matt Losi,21101,Miami (OH),Mid-American (MAC),13.05,13.69,13.56,13.79,2011
553,676323,Josh Crawford,21560,Wichita State,Missouri Valley (MVC),14.3,14.93,15.57,16.0,2011
560,663302,Aaron Powell,20690,BYU,Mountain West (MWC),13.77,15.21,14.7,14.43,2011
565,628279,Tyler Terry,21370,Southeast Missouri State,Ohio Valley (OVC),13.9,13.98,14.49,14.27,2011
